Name,Score
AMJAPI,59
JYMDEP,15
PWCMPO,11
RQZKGF,46
IHBPPQ,10
ARYTXW,24
JVPWVV,71
DFEXPL,63
RMMGYE,11
CLKSWB,61
QEPYXH,54
WDTVKB,11
JUUUSB,2
ZFCAVM,92
TFEGWZ,83
CXUILM,84
OEMNPJ,1
LUYIJD,82
GMRXXZ,42
DSAHOC,37
PSAUHE,19
TUHIBW,42
OTUVVX,30
PYZJAP,97
VWMMZN,82
VEWIOB,16
CQNJIN,71
YZKTLQ,54
XYZKAK,91
XITFAK,5
YEDUYP,99
WOHLCE,89
TEVNZP,6
OEPTYN,98
UINKMK,65
DYALRC,46
JHULLJ,52
JJALAY,50
MFIEUR,17
PRSABV,38
MJMOJV,100
PABETX,28
ZAPNTJ,9
QCLHLV,96
TOJFHQ,43
BOEBRQ,24
RXCFZW,76
XALGME,0
KIVNIT,100
BOTACM,53
TIVLKP,50
AHSLSR,49
SCLNXZ,50
SVBTWS,61
ITRSGG,17
PVKAPD,34
OWHLYT,36
VEMJNB,24
XJAAIM,3
QPADTX,31
HLWAUS,25
DZIWAE,92
VLLVCY,82
GCGIHR,40
HIYZJT,70
XAEASQ,50
FIAYFJ,84
GDUWPX,23
GBAXGA,83
RCSCCE,31
EOESCF,78
VEKKSD,73
IZHSOC,37
WDOIAC,86
FGYVEW,36
DMPDNT,74
OXEHMT,52
MQRDVD,16
YJFOTM,4
KWSRIF,83
ZTGMKW,94
RLQLPE,95
KQRUFX,26
RNLCVT,24
QWKIDE,58
XEWDTW,62
AFZRGG,28
PKSWMG,53
HSZLPJ,65
BKSIEL,29
EKJJUS,70
LDVUHS,19
HBBTRL,95
KLPKEF,6
GNXDUV,89
KBNHCO,99
NTFRQF,69
QVTIHD,27
PQLUZW,32
GWBNVC,31
DIOUJL,14
WMHERT,45
LIAQKY,94
VXTBNJ,71
FYDAZW,68
UKAVET,71
OWPTPC,58
VTQLTT,19
FZNNMS,15
CSAPYZ,93
ERGZCW,45
MXVEGN,78
ZMZOPX,99
XZYCRB,8
OUHNJS,71
PGXSJK,28
BHNMTZ,85
RBTZRM,4
NOIGWI,55
PUIYVZ,77
OLUZVO,42
LGPOSW,28
ULOGIU,52
OPVCGY,24
IUBSUZ,31
CAVLEN,81
RLCYME,43
OUJHSR,67
COWZAV,56
JABZGW,78
UOTKVT,83
WLKAXW,93
RJOLTB,49
CAMJJO,0
QDOHQU,77
IVHQFB,24
TVVTEC,3
ZEYVZC,69
XMQPGC,44
GWJPCG,91
FFCIAB,26
QEHFOM,28
OOGVIU,79
ZMCEIB,40
JLXAPL,79
QILBTR,5
DMBQPW,26
TLDDEX,67
WBTWCJ,42
NPHCZC,20
OPYWHQ,6
UEGZVL,38
TGWGAJ,6
WMGECQ,40
ZQWCXM,98
OSGHWW,82
KSERXM,50
DWBAZM,5
IYZECP,68
SAIIBK,61
PYNYLR,29
NFUYYA,46
OSWBWN,11
DRUAED,73
XTJNAX,95
ICSALE,13
DMBEAZ,6
ZHZMKG,5
RQFKYZ,34
DGJBPF,29
IRGIWU,42
IPOCSF,96
OKWKHV,28
GQBQKJ,56
CKDPAF,20
YDCGIH,69
XORNBL,50
MIYXEB,83
YHUBCN,95
ENUQRK,33
HGSKOO,8
YDOLTC,66
VXCTSQ,22
AZLZZQ,13
ZWVZEI,44
BQXXIY,18
PEDWCM,4
AOGKEA,61
HYTGUM,88
QEWGWO,82
JASUTX,80
JEFWAN,85
QOWTXN,91
XWPQJY,38
NQCKDC,43
HLTHJW,29
LSJIJJ,91
AFYURS,35
QNCBHB,30
MTFXNQ,46
SKHONB,46
UNSIGW,26
ITUNVD,8
KFSOKU,94
YIJQDB,61
AZQJEJ,81
ZBAXLF,83
QMHGHL,38
ANNISN,76
LGFNAR,78
HJQVJZ,20
CAUTRI,94
OAEGOE,5
SQTXFN,10
SVNCTN,60
YQRQTR,46
AUOUQD,32
MNRBRD,65
JAKXIC,32
TXUUON,60
VRPAOU,44
GYLXAS,50
RMOPWI,1
SAMZPO,58
RUKYNY,31
RJDIUU,10
FKUERS,64
KGLLHW,34
ARNJAJ,51
QNMEVI,17
EEWIKW,90
SNABBI,94
FZOKOK,40
RDSRZS,0
MVTZYF,87
ROEVKI,43
LVKBEK,76
UZZDPB,68
ECYXWC,40
HWZJQC,37
PWDLNW,0
HPDDUM,89
PBIVIW,16
BRIFCL,16
LGHRAX,8
IMLVBJ,31
VGSLDI,29
OLPFVC,66
VUHUIX,16
BDKBGN,33
LYUIEH,51
SLURXC,69
KFELIE,84
UFTLNN,17
AGENLK,54
VPPCIB,42
EQKAWV,79
TJDOFH,86
IWVZIR,88
HFDUZP,71
PGJXTB,33
JDKULO,93
HYLMCF,22
GIAEDV,11
AVTURM,25
IYFYGK,71
XZFHZR,36
XZAAZY,64
CDATEJ,4
ADKCUK,7
ATTPQB,68
KQRLSL,85
HFWTWE,46
IGBDID,34
RICSFR,71
WTUSOI,43
MIFIYL,91
SBKQRS,48
ZFUTNE,42
CFTOIM,19
AZYSYW,49
WSFDDT,14
TKRHUN,66
LAQXLT,88
WAXAXG,61
GTIPYS,15
HUXPTJ,80
IUQAIL,11
TSCLSD,13
KMSCUJ,13
MHYWEV,54
JFOBSD,21
BZYGXU,65
DVFZMA,100
GPYXSL,84
HOMLEL,34
OYSGKZ,45
OZFAUA,55
CMIXBU,4
COFJEH,100
POUHZU,3
GOFTGJ,47
YCBIBH,89
FXGOYK,19
MNTIZR,35
PYFFWU,61
YLNIOH,2
LKGPNE,37
URVBBI,79
VOLALE,82
KKIQMX,91
GEHTHH,10
JFOWLJ,42
YUEPOF,68
EHBFLY,46
EBBRVR,8
SGLDEO,89
BYPLEK,19
GGMFDA,1
IAAGZB,53
IKCDZF,73
JECHYM,88
ULTJQW,23
VESTFG,26
VAIPMU,82
QIYRHH,14
YYLJLP,78
KJXZRW,58
MXLLUA,95
FRIVNO,1
HQQTGV,89
CNRXAN,89
IFSXVB,45
APWQRW,4
JOGBUT,86
DMSSKQ,61
CHSTOG,68
JOKRTI,45
SCZZZB,47
KSAMVU,20
UAANQT,70
CLWNAF,93
XLDXER,5
MECZSZ,70
TNBBPH,100
XYLDMW,42
SMFMIQ,1
QIQUJC,48
LCPIYQ,57
QVYAHG,45
IFDRLC,47
BNCRHV,76
KALWKS,66
JQCGYJ,36
IMIOSQ,85
OWCWBM,24
CVDVCU,87
GXQMKD,20
CPHWJJ,83
SNIQIS,84
UTZEMT,86
MIZIWA,38
WXAICL,86
GRNMOV,29
AFEAZO,66
HVSUEI,3
IFTRCM,56
OJQBPB,29
CVHHUE,63
MOQUJM,26
HFTLVE,22
GBCKJP,28
BEEJNT,54
QWYPYO,79
WIQSEX,7
THGDVZ,17
FANERU,70
PKFLOM,18
GAQYMK,49
OCGLDZ,89
YEOAKW,84
AEPPKK,98
MYUDNN,0
XVQXAI,39
LCEJWZ,53
RIRIXI,62
WVCFZF,17
EEOWQB,37
NAPHNK,63
VJGKJF,25
NEAOKC,11
VIXSZD,46
OYASSS,20
NEZLXJ,64
ZLONNV,53
ZKZLIW,6
MTRQOV,63
HDZHOR,70
XZNURH,97
PXCSTG,0
GDOIMZ,76
VNQJFD,87
VQEDOA,86
YNXXVC,51
ICOWVR,52
QLBBND,45
IEDGOI,94
GCUSOT,84
DWNUTB,61
OAZJHA,12
KZMUNR,55
ZAGGEX,2
XOFVSU,21
TDXQMG,69
NFYYKC,96
MGHJRE,57
CKROAS,46
OVCEZV,91
TOJSVP,17
SOTHWU,71
OQMYQH,36
RFVDFS,75
YLZWUI,32
YQHPTE,9
CVQNIE,12
GOTEMH,65
JGTSSZ,44
QMTLOR,78
HCKHDU,33
HGULYM,93
UQBERM,30
VALHXV,66
UENZBU,59
XQYTHV,62
ATWSTW,35
NLYQRU,20
JZWFMY,4
CJRBVA,65
BESUXN,52
CXRGXU,53
JZFOBO,18
LSVVIU,0
FDDAEB,62
FNTTTQ,68
ZUWVRM,27
THYHII,76
FUZRPJ,36
YACUEM,3
FHRWLF,37
ZHRUFB,27
QYIRYZ,84
XXMFDM,50
ZYWNFD,58
OMHGAM,51
TOUFTW,70
PLSIOD,28
ATURPM,50
YYHCWK,77
SENCKI,75
KGPBZZ,62
JGTYUD,65
WIYWSZ,15
IPQMZB,47
VQVMPQ,29
ROZGZF,29
ZOVJRW,35
CHIBNP,7
FKOJLG,39
UUSBDI,22
IXRTUU,52
HGQLAG,55
JIHTCN,11
YCCVDY,82
DXADKT,98
PPFLIZ,100
WVUJUP,14
NKANJX,2
OFQNEC,57
UKIQRO,74
VUAVBP,82
SBDGMM,37
YMDYJH,73
XWWQKF,64
XTUARX,45
BBHBKG,87
XZAQGR,82
ENHGSN,37
RRJDUB,21
HUUCCO,53
DKCYJA,12
QCCCAJ,32
ZMKEAM,93
CTPOGE,63
NTMHQJ,60
RGAWKB,34
OIFRCG,23
DOUYKV,39
PCXFCF,67
GITLGD,75
GYZWOS,74
NWVOQI,2
XSNWUE,78
NCASGH,65
CLSGJG,5
HTBGGY,24
HZMOGD,47
TOUIHY,9
XCGEAW,18
YQFSDK,41
LQKEOP,10
TIWRFA,99
ZVMJHP,97
RTISES,96
INXIPP,49
ZNDQWP,65
ZQAWIR,46
GEINMB,70
LAFKOG,12
YLZFCJ,16
DFWEFR,24
YQAHTC,47
MSKRJS,45
ITGNRH,52
RVTKBN,25
ZYKVVU,24
HALSMS,76
PZNPCA,94
AZWFEG,48
WUOTBM,4
MJYOFH,3
QBNPUS,45
KHBGFF,78
ZAELQH,1
FKDDSQ,39
WFGCAP,29
NHYBWC,18
KKTTGS,48
UVPMRI,76
KYWFKG,76
TDWLNR,65
HMJXUP,97
AXWWJL,81
RTDVLD,38
IFXCRS,42
WMJODN,57
UNCTRC,78
WPEMRM,31
QJXPEK,6
OWTHDY,74
SZKZQV,27
RFYQSA,59
MEFGBB,25
KLZMXQ,42
YWYTRM,45
SNEABC,93
VTPBQD,42
PHZRBX,4
NLLXBD,60
QCNFJT,36
ZWHYYH,8
WJPLFR,28
MHJSON,57
CUPDGN,73
DDDCRK,37
TXHODE,99
CALUSH,36
XPVVQN,32
RNJLFH,56
ZUKUYJ,40
ZRUHCY,86
NQAMXW,75
XVBRHB,29
YTEYDS,2
KUAXLA,15
ZUWETW,8
HMDHIC,44
PBXLKZ,98
ISJCFD,23
VPSNIV,61
BKGJOH,17
AKMNRQ,28
ASACWZ,45
UOTSVB,31
BFRITZ,97
TDIJUR,34
KPCLDW,50
ILRPJE,33
QIYOKY,49
VRTTYM,35
DCGOVP,25
JXWIKO,46
FQXSCB,18
DQUQPP,52
CWEMSK,89
QLOYOC,14
FWWJFH,90
EFNTST,0
FRFQNS,28
BDXLNE,22
WDQFKN,72
XTILPP,91
UANHCJ,34
RGUPUP,23
GILFOE,32
RAQNJJ,38
EHQOMF,97
PJOFTS,76
YURHBV,37
NXOQSH,86
KTDDJL,92
ZDUVGH,47
PFJALH,2
WROKDS,21
VOZGYZ,15
QAIBMC,63
SPZBRU,66
PCLPOQ,6
ABWEYV,27
WYTZSS,23
AKFWVT,92
GIVUJH,90
FAMUKC,55
KMJTLS,67
PKSUXP,11
DOSAUV,60
TOFMVJ,18
NNOBUE,33
IXAGXE,67
KOIKQO,50
WCECAQ,80
LHBJEZ,91
ZYRNVD,43
ZJHVOK,6
CPUHYJ,3
XZYIEH,38
KOJFVA,26
PYVZQZ,36
TCMTMO,54
QPSOXV,60
QDFFWL,30
GVKLJQ,86
OEDSST,71
SQMAMV,66
QYCPKX,16
CEPWRG,100
AWYBAF,89
ENTYAO,83
BSZGLM,25
XUQFOI,16
YTOYFM,35
KAAXDG,56
VMLQJQ,11
WWERSW,65
UEAHIA,49
QEQQOC,43
DPNTYB,52
FHUOLM,82
OXISKW,71
IPVUSX,10
QYRCAM,45
NZTTRM,42
LXLTVO,16
DPGLHM,57
QVZAHO,92
UYFPZU,80
WVDQDV,30
YWHIYR,45
CAXGOP,65
EYFQZV,65
UNIEJZ,16
DIHIPK,4
EYFKIQ,37
TPIRBN,20
TZFTDT,71
GKRFCJ,2
AFPLZE,53
BGTJCE,38
QCFQUM,28
LKQIVD,18
WITTPW,19
WFNOVO,29
LOVKQZ,66
SVFRIN,49
YTCUNV,34
QVCBKS,39
UVBVCI,19
IBTTDY,47
NPPCUC,81
XPDNYM,53
NNNLTJ,34
BMTLKC,53
QSCFQY,61
YTVSUH,1
LTRCOI,75
OIVYOJ,4
CSBFOK,93
MBKWLE,54
JHBUHI,91
FWJOFG,5
YOEFOS,71
DFVGMU,96
POLYPW,68
XHXLAV,88
IDALLY,33
RNPTTI,83
XELHWH,99
FTJWMB,35
ATQHGK,67
RYQAPS,32
SPECUI,2
XEXRVT,11
ZWKYAV,68
MYXWPX,31
XFJUZC,58
YTQQWG,86
JUEHDZ,97
PTFRQY,61
QYSHTS,78
OTBKUM,4
JFETQN,91
BLDEQK,3
OTTUTY,41
KCXUDY,43
MTVORN,79
BKCBYA,7
QVBLPF,50
OVODDP,95
YEALNU,6
VCNNZE,28
IJYRNR,5
EMCWUI,96
FADQQR,30
BUCVAP,13
KUBYEV,43
GKBYKO,75
WHMDKM,29
DPWKBE,61
PVRPGU,87
HGAOOQ,86
GOVUPF,16
TKHYMX,72
XXPCNG,72
BUYYWQ,90
AMJZPE,73
JENXFG,70
WXCNCO,15
SAWFVD,20
EQEEEB,28
GQLVLD,60
SDQVEN,58
PLNAPM,86
DLTWYW,5
DYKTZJ,9
YQSREI,64
YCUKVX,2
NDDXET,74
ANIXZQ,41
MCDOCM,71
WKOJHP,83
AHUNTG,92
ROMFZY,20
YTPETL,93
CGHXYB,76
CNVNTV,54
AXJTPQ,76
YHFSMM,94
WTEYRB,5
PWGWBR,49
LVNLRR,59
QNACYS,57
YQDHYW,77
PQGXEE,75
DJECAF,2
OCUADV,25
IQQVNN,87
XVWHPE,52
IHHYWB,47
QKKJWW,24
VJPGDN,51
CODZED,89
QWCYAE,7
BZZMMH,3
LLEQZL,38
KBFGAL,72
GHTPFK,9
SFDBKK,65
GFETUP,79
JMFAYE,39
XVUKEH,43
NZAWRK,91
GVQQNN,18
DEGELX,20
TWPKNH,85
RALRFP,8
VIKKAQ,50
UIWUGM,0
UUVESQ,30
LCAUUL,35
DLKWZL,47
NYAOOM,2
HXJSIO,83
LAAYMP,77
JAKNVT,84
AYHVMU,97
EKIDMT,56
CLMWEI,58
HJHHRJ,12
FWEEQX,76
QNKCYW,15
UXSXKN,87
ZJQUGV,65
CXOCKE,54
OXLNXP,2
ZKIOZO,14
NZBCFO,84
CBQNCR,7
JODHIH,26
LXZZBK,75
CHOIPJ,11
VTXAFD,64
ZETADF,16
HQBOFZ,6
PEDRLE,8
FMKHQJ,17
YFHQXY,29
OEFMNX,89
YXJLQV,35
DMFQZE,17
DUMUND,84
XXGGKM,47
CPVSBX,96
QNMYHL,52
GNGJVX,24
EPAAOO,78
DRXZFG,65
YACQWQ,54
BNWXIU,91
SBIUFJ,75
BVRZWW,5
MQQOQE,87
ZNVFIO,71
QYNCBO,91
WYSOER,50
CLFLER,43
PFVNJO,87
EFQOGG,1
MBMICX,35
OTCZRM,30
WCRFHD,39
FEGDUI,100
WLOHMI,97
TZHQAE,36
NZMNQR,47
XRNJNX,43
DTUROW,13
CIHSZQ,66
WOXTZN,72
LBWIFI,52
DHEUXY,47
YLNGIM,99
CPZQBP,29
KKSTKV,63
LGDVXX,24
UFXMQK,94
SSRBSB,72
RANKTV,93
OZTJTW,51
AUSUZL,95
ZQLZGC,76
WDPXQP,19
WIUNQU,75
JYIIBA,7
TOULYP,62
SHYQTM,99
TNUNSV,11
VTMYLW,79
RHDFZW,55
OGAMTW,67
LJKMWO,98
TAURVQ,27
ORTFTS,97
EILBDN,65
JFACDJ,68
KPDFYP,55
UEPBCR,64
WRBOWN,95
GFUQOR,63
FHTZEX,83
IRHSLO,78
ZPWLDR,54
ASHLZE,64
WDSCMW,56
MXNGTB,34
MAQHCJ,63
RVNAFU,0
INFDZD,88
CFALVJ,54
FFUIWK,31
XWBKBP,17
CIMNSB,50
DQVXXQ,59
QLAGLS,93
GZEDAQ,24
UCDEUR,100
RIPIQC,69
UXQRKU,12
MNEHJQ,59
APKIAY,30
BMWGMC,43
JBBMSX,99
MNQGWF,85
TWLPAJ,79
XCKHYB,69
BVFJFI,2
JSCSMA,29
SMIUSC,25
TJITAD,32
GDTBJG,61
KOQKNO,81
IPPQTF,61
ARQZIS,27
LIJBJW,76
JZQQNY,77
FSVJTM,49
QQSLQD,28
GOGHHG,30
IFDXZM,87
FOQFCD,39
KTZLAD,31
XDYMRF,53
MSEQUV,9
WAREKN,39
LTCSSR,31
XYTGHY,21
FBNASO,75
JJRQCE,50
ZTLBOW,19
RQZKIR,86
GOOVLB,38
NGALXP,83
CBBFSG,27
IHNOVN,30
LJEBUA,28
GOYMDB,74
FZUFJZ,52
CXNEWM,27
XKLAUV,45
BFDRRY,56
XGSLMR,43
BYLMQF,9
UQTVSP,14
RPPOKT,6
HELCZQ,7
UCFZHK,12
ITMSFB,42
OROSJV,33
ACCBNZ,23
STGAPX,40
BEJJFP,21
IAWMNG,24
FHFYHR,2
TWSHKL,47
ANGIZZ,44
TFWXLO,46
GBUXCJ,66
MVUWJB,79
OQSSRC,81
CTGVMQ,68
EANYBM,34
TLTKYW,25
PXLYDC,6
VLZPAW,99
VJPOYZ,79
OUOGCF,14
XPZGQZ,84
JJUSXD,40
EYPYSK,99
LNEFNY,9
KFLIRW,93
VTJTQW,84
JJMTCU,13
PCIGKC,64
OLJHKP,75
QQHYBS,58
ZTPJQW,34
YVUHSR,74
RSSDGL,96
KYNLYJ,0
WSVMDF,21
DVKVFF,66
IISUGP,87
VPDMLB,9
QRGZQV,81
LSDYNH,89
LSDRVK,77
ONTJUD,20
VWOFAB,100
CARHUN,80
JABNBO,91
KSVPIF,40
NCVKNG,90
HJZEXN,14
JEGVFO,56
AFJVCP,55
KXVCVF,99
FPVGWP,90
RPQFRT,82
URRWBO,20
TUVWVX,5
REENUP,1
KYQXWV,82
NFAUCB,86
CSDBHD,23
WXVXIP,51
USBHWC,20
UTOBZG,3
YDGNUV,19
QMKXCN,33
LFGETQ,57
LRELZH,72
BZFKDL,40
CYRXAM,100
OFJENG,81
YWQBCV,3
YEZIYU,26
TVAADM,88
PCVJLZ,5
FTRYPL,51
LEMHEX,81
WEUTRF,74
UIXHBT,82
LGWRUK,31
XOZNPQ,38
IRWKTX,48
VJOEEU,73
XESYNJ,2
ZSOYWP,10
NEVWPY,41
UKXOMS,27
JCUCZP,77
OJJPVD,4
XCGGSB,66
VQXZOE,100
NFHKDG,6
AVPPRT,58
PPIMRO,42
NFXFLJ,91
NJVRZP,42
WKEWTP,44
XBAYDW,20
YMMLOH,53
EPJQYK,66
PBJHCU,80
GMZRLM,11
KSNBZP,31
NTYSWX,4
AWWMUT,18
RUJTBW,46
GVZJSF,24
XJYBHK,45
ACSBIQ,31
SPCNYT,22
HUWYWV,72
EUDZQY,71
DERNDP,44
XOKXHG,71
WSULQL,54
TLAUVF,60
CXKUAN,13
HAVIVV,38
KRAVUD,97
TWZHLB,94
XOCOCJ,33
YNVMHZ,35
UFEBPU,17
SBTUMB,73
HHGKKV,89
LDGVDV,13
BFVURO,25
GNUBWY,9
PMNAUV,3
WJEFSZ,86
EHHHSQ,9
RYKPBT,65
PIYVWE,53
SUOKEZ,30
NLREAW,76
MBSQAF,88
WUPBAZ,56
WZCHGN,51
ULNMOH,80
EVVQQM,41
QTKJIV,66
BLJKGT,82
WZNRJB,78
OUBRUT,40
TMKNDD,67
KNVFSY,10
NIKXPF,100
JVVLIM,52
NICGNX,7
ANVSNA,10
BDIOMX,53
UYQOLJ,80
APGRLW,89
MWVJYI,91
TQTGZS,48
OZGKOD,37
BTWUKP,44
ECXTQK,41
IUZJDR,84
VPRUWX,30
OKBRIF,10
XULRCO,17
LMJCYM,74
XIBAZK,77
LQHJAT,92
CDNGLF,83
PZDIJC,93
QHIBVE,45
EYABVL,46
HHQVLK,20
KKTUNI,10
VAIUDT,50
PHDSBL,7
SPRXOM,3
WFQSXG,98
NRTZNX,45
VXTGQU,35
CGSJKP,0
HNFJBQ,92
TJCZOW,8
XEOOXW,83
EKGVWA,41
XOZCFE,71
PRIPME,8
HNDKLH,82
VBZNPD,100
TUXOYY,13
SFUEWP,61
EUNTLW,78
WEKDHC,31
KXKOQI,14
RZEZET,26
DYGGWA,89
HMLGVQ,77
WQFNVM,91
YKTYHA,9
SMFJHT,27
NKHKSB,76
UMKJPW,82
DTDTQP,10
DZJVCZ,40
VTIDLX,3
TPHCAT,47
FTIFLM,36
WTDPNP,52
PQQFON,20
UNVLQU,30
GZIOWQ,19
XYMKIT,31
RGTIOM,52
NMLBIW,56
UCSCLA,66
HMFBNV,54
MCQLHF,52
HAQFKZ,26
BFPHQY,23
YHGQOA,93
FTRSRY,94
CIXIYD,71
KHSHRH,91
QOEDXT,43
SVKQXM,17
KPLLRK,41
GWYMYN,83
NPMVRH,71
PKBFAW,4
QRKYNP,0
UGQFQC,56
JKMKTJ,59
WCWMVU,71
ECTUUD,90
UGFZFD,19
AZVWUJ,71
EHVZOL,54
LWPTVS,49
UDSSUX,66
VCYPLG,20
EWBXRU,38
WQJAKM,28
FZERIA,100
LJOGJP,31
TUYCZN,75
EDPRXJ,23
TFBBVB,17
PQKFPV,28
RKIVLQ,4
AZBEGT,27
YOLNMT,50
DLCHUJ,8
PNEBHV,50
CFKFAI,18
CIHNPL,53
HPYDEH,30
OOLXNV,76
DDMDQI,95
PRXXHK,18
UDIMOT,1
CGQHNT,37
SQHNFK,63
WMEHEA,27
PUFEQA,44
NSSQBX,50
UDCBQA,44
DCKRZL,94
QKHZRO,44
UCYHKD,25
PPUMDK,50
PZVSSM,51
MSXBIG,81
ECMWNF,38
HCUZIX,28
ULSCFC,17
KKHPMU,45
AORGLA,26
LXVLKJ,31
IASQRM,92
EJBKDX,44
FBICVY,98
YMXGSR,67
IJTFZR,44
DBKGSX,58
HEWDQT,44
PRFHBB,8
LPKPVP,94
CRKGLL,39
HPADTK,24
AOBAQU,57
EKYMPU,5
DXLYJC,100
AGXJVQ,97
CPIQKJ,4
CXYMDD,4
MOIONL,66
BJKVXO,73
IURHSL,37
WFBDJP,62
UCUHQR,31
JZGXKY,41
LRTEBE,97
DWRGGD,83
ICLLTO,2
JLXNTK,80
UFLPJR,5
OEMOXI,65
OIMAUK,40
IVATVS,14
MPIJSK,57
KJENCX,59
NNJTNN,84
NYSDPN,49
LOWUZM,57
YVQSCB,49
IIYRRS,67
LQZMAO,84
RNJDZU,96
OFILMU,63
HFQZEL,7
QDXZGH,9
ZDKOMB,5
QTZTLN,90
EJFKCC,89
VFGXGQ,50
NPROTU,23
NAOPNA,6
HKIFPU,36
PTCSTO,43
DYBMDK,100
WFFXON,88
TQELGC,37
OEAERL,64
FKTFLV,75
YYTPQK,30
RNBZXT,12
ZHUOQO,30
TPCDKK,58
FLNJHJ,92
RINPZS,80
QOFLVT,48
KZYFJL,2
GTODLY,69
UHNBCH,28
GWRNCR,33
WQGOCM,60
VGRVQB,70
WFYCHD,45
RNLMBV,14
YWEYIU,17
PLYCLV,42
BWRPRZ,74
FHZFWI,11
WKCWET,87
HCPFHT,97
XMFISX,28
SBGAAL,72
STYBSL,74
NRSFTM,26
KPWXKJ,74
KLUZWI,67
WODPFP,79
QCURNK,48
BVHKMG,72
HEPYPG,82
ODYOUI,56
PARSTP,45
TTBLMZ,57
WFOIVD,35
NEUEZH,25
OJGTDQ,68
WFROSB,59
RWSONJ,28
QYOJMQ,39
FYTRIF,50
ZBQUBP,96
TWRFIR,93
TMZLQX,73
GVVFDU,86
PPMKDN,47
NXGAIH,43
IIRFRA,18
HWPPAN,97
WMDQHD,54
BDJDZO,73
PNSPXO,50
LXPMEO,57
GURKJP,97
JFVIEC,64
UKOMUG,77
RUIQCS,100
SGIFXJ,45
TDIHPC,48
BPFUJQ,0
AHXBDJ,5
EQHJOS,72
OWGNRK,84
UPBWKH,39
VGWZJH,45
UMPXFQ,40
HMZJRG,81
DHXQJD,37
JOCBRS,52
ZHJAFD,41
WPSJMR,74
YHSMXP,40
TERCYL,87
FQHKJJ,67
ICVUCF,18
XEHFUN,88
RZEOBT,31
JPPIRH,68
FZYIQP,85
CGFTJH,0
NOLRWK,7
VEBADG,44
AGOTPZ,65
ILEKIQ,91
TRVFDP,36
VNXPEI,66
OOJJUN,9
EZRRFK,3
IFWWQG,78
VAKGPK,90
FWBMIH,78
GYTZTI,69
BINXWS,54
BOVSLM,92
YNNEVV,65
RLSICQ,6
UJAFRX,2
TEPQBH,74
YRZOFC,99
WOLTFG,6
ZLPXGS,28
BCMPHO,76
EHUUSQ,91
UDOEFM,72
WGTDMC,56
RBOEHU,48
JZABVX,99
ZXGSGW,92
JHNQLC,26
HJDIOW,0
VGPWFD,86
HBBTNB,92
EYWXND,90
CCJKIR,56
KJPLFE,96
VCYTHR,65
WSXSUM,64
KDVKCZ,43
COPGHB,3
STSMVM,65
IIZGKZ,51
ARYMGR,66
EGWCAP,81
KDKRTF,55
IZXIMO,42
RDFFLQ,65
IEFNKS,60
IMKJVQ,44
KYXJBT,28
VRMUFW,84
NYTFKH,48
EWVKBH,55
YAILVW,74
JWLZWV,19
ALLMNN,4
WWNQDU,56
HBZNGJ,76
SKSSUG,80
IUEYIY,29
NNPQXZ,22
OCSZNZ,82
PPURIT,11
KTTPMD,73
ZLEZRJ,93
VVFWFE,59
DLVYGI,76
DJSJUM,38
UNWAMD,89
WLEGKJ,95
YMRUDG,8
RACQZT,26
HZIXCL,80
QCECQE,19
LEFOPJ,9
KKPEAW,6
TURGUZ,60
JRFZAT,66
LWYOSS,51
XCCMAB,43
QAYKMW,73
GARONX,89
LUOTFO,29
EBVTUM,24
MLBGXB,71
NRTFTQ,55
JAVURT,77
RNADBK,64
XCQKPF,21
AKUFHF,24
GHKJJU,84
VXAJEM,97
YSTBXH,56
LIDVVL,14
HMCHBH,23
RXQKSW,59
GVZFZX,91
PSPCBU,80
WLFESM,39
TIMESH,62
LRURID,2
FRHLEF,29
UTEEQR,100
SDXVOK,9
KDBHDN,73
XALHNL,66
ZEXZGO,0
PKUWQC,20
CEMWOQ,61
UTTDLX,11
VACXEO,71
XKIIJA,80
RDMRXQ,53
NKPHLW,55
PKIWSC,30
VNVEOZ,33
VNPUJW,83
OPCELS,95
LHRFIV,70
PDOGFG,64
OFLXML,24
FYPQBH,15
AEIRDA,26
IKTEYL,52
WLYHVJ,13
NAKLNC,12
GZHCYL,38
XERFAX,83
WHIDPK,10
PMXWPD,27
STVBAO,49
VLCAPI,7
FTSILD,43
OBLEPA,90
TGQIIS,64
JEPMBR,59
XDRMRR,20
JMZXPT,83
ZXLSNL,59
FGDXKM,94
UKTAZJ,91
GBDVQP,20
BMJBWC,18
JQYXFC,55
DURTOI,99
LKBJRO,2
YLBSNL,87
EOHQMD,52
FFBFTR,93
XDYISN,6
YUMLYI,63
IDKYPP,59
ELQELD,68
XGIRZH,58
GIZAYV,26
BPSXOJ,3
VNGPSG,94
UUXRZT,99
ZOTOHY,79
FXAULX,43
ZRMUYT,70
SXPRUA,67
PIYFIJ,40
YPDTZQ,48
IUKLLV,43
PTFNNL,73
GRDWWT,46
QRUKSH,31
TBOVRD,81
EESHEC,98
LXJUDA,82
LKCOZU,39
VRKHUA,14
IYVXYA,19
CJNHVY,66
DFJTIT,25
HUMAYQ,9
AIHKTQ,83
MKTPMY,49
QYBSNG,68
AGHFWZ,18
QVLCYZ,70
ZOLCIX,75
UTZNYH,69
OSEVCA,89
DCDNAF,35
WKHBCM,46
UGXPRV,83
APNEOC,14
PWEEYQ,29
SHNRRV,66
AKIDLH,36
